age,qx
14,0.002599
15,0.002636
16,0.002677
17,0.002722
18,0.002771
19,0.002826
20,0.002886
21,0.002953
22,0.003027
23,0.003108
24,0.003198
25,0.003297
26,0.003407
27,0.003527
28,0.003661
29,0.003808
30,0.003971
31,0.004151
32,0.004349
33,0.004568
34,0.00481
35,0.005077
36,0.005372
37,0.005697
38,0.006056
39,0.006453
40,0.006891
41,0.007374
42,0.007907
43,0.008496
44,0.009145
45,0.009862
46,0.010653
47,0.011525
48,0.012488
49,0.01355
50,0.014722
51,0.016014
52,0.017439
53,0.01901
54,0.020743
55,0.022652
56,0.024756
57,0.027075
58,0.029629
59,0.032442
60,0.035538
61,0.038947
62,0.042697
63,0.046822
64,0.051357
65,0.05634
66,0.061814
67,0.067822
68,0.074415
69,0.081642
70,0.089561
71,0.09823
72,0.107713
73,0.118075
74,0.129387
75,0.141721
76,0.155154
77,0.169765
78,0.185633
79,0.202839
80,0.221464
81,0.241589
82,0.2632
83,0.28664
84,0.311707
85,0.338549
86,0.367217
87,0.397746
88,0.43016
89,0.464464
90,0.500645
91,0.538669
92,0.578479
93,0.619994
94,0.66311
95,0.707697
96,0.753601
97,0.800647
98,0.848638
99,0.897361
100,0.946589
101,0.996083
102,1.0
