age,qx
0,0.00404
1,0.00158
2,0.000887
3,0.000715
4,0.000627
5,0.000566
6,0.000526
7,0.0005
8,0.000487
9,0.000482
10,0.000483
11,0.000492
12,0.000502
13,0.000512
14,0.000524
15,0.000537
16,0.000551
17,0.000567
18,0.000584
19,0.000603
20,0.000624
21,0.000648
22,0.000674
23,0.000702
24,0.000733
25,0.000768
26,0.000806
27,0.000849
28,0.000896
29,0.000947
30,0.001004
31,0.001067
32,0.001136
33,0.001213
34,0.001297
35,0.001391
36,0.001494
37,0.001607
38,0.001733
39,0.001872
40,0.002025
41,0.00222
42,0.002481
43,0.002804
44,0.003187
45,0.003625
46,0.004116
47,0.004657
48,0.005246
49,0.00588
50,0.006557
51,0.007277
52,0.008038
53,0.00884
54,0.009682
55,0.010565
56,0.011491
57,0.01246
58,0.013476
59,0.014542
60,0.015662
61,0.016869
62,0.018199
63,0.019666
64,0.021283
65,0.023066
66,0.02503
67,0.027193
68,0.029577
69,0.032202
70,0.035092
71,0.038272
72,0.041771
73,0.04562
74,0.049852
75,0.054501
76,0.059609
77,0.065216
78,0.071368
79,0.078113
80,0.085503
81,0.093593
82,0.102443
83,0.112113
84,0.122669
85,0.134178
86,0.146709
87,0.160333
88,0.175124
89,0.191151
90,0.208485
91,0.227192
92,0.247332
93,0.26896
94,0.292118
95,0.316834
96,0.343122
97,0.370973
98,0.400352
99,0.431199
100,0.463415
101,0.49687
102,0.531389
103,0.566757
104,0.602714
105,0.638956
106,0.675143
107,0.710898
108,0.745822
109,1.0
