age,qx
14,0.001374
15,0.001407
16,0.001444
17,0.001485
18,0.001529
19,0.001579
20,0.001633
21,0.001693
22,0.001758
23,0.001831
24,0.001911
25,0.001999
26,0.002096
27,0.002204
28,0.002322
29,0.002452
30,0.002595
31,0.002753
32,0.002927
33,0.003118
34,0.00333
35,0.003562
36,0.003819
37,0.004101
38,0.004412
39,0.004755
40,0.005133
41,0.005549
42,0.006007
43,0.006512
44,0.007068
45,0.007681
46,0.008355
47,0.009098
48,0.009916
49,0.010817
50,0.011809
51,0.012901
52,0.014201
53,0.015425
54,0.016881
55,0.018483
56,0.020246
57,0.022184
58,0.024316
59,0.026661
60,0.029238
61,0.032071
62,0.035183
63,0.038601
64,0.042355
65,0.046475
66,0.050995
67,0.055953
68,0.061387
69,0.067341
70,0.07386
71,0.080994
72,0.088795
73,0.097319
74,0.106626
75,0.116777
76,0.127839
77,0.13988
78,0.152972
79,0.167188
80,0.182604
81,0.199296
82,0.217339
83,0.23681
84,0.257781
85,0.280322
86,0.304497
87,0.330364
88,0.357972
89,0.387359
90,0.418551
91,0.451557
92,0.486372
93,0.52297
94,0.561307
95,0.601315
96,0.642906
97,0.685967
98,0.730365
99,0.775943
100,0.822527
101,0.869923
102,0.917925
103,1.0
