age,qx
5,0.00037
6,0.00038
7,0.00039
8,0.0004
9,0.00041
10,0.00042
11,0.00043
12,0.000441
13,0.000452
14,0.000463
15,0.000475
16,0.000488
17,0.000502
18,0.000517
19,0.000534
20,0.000553
21,0.000574
22,0.000597
23,0.000622
24,0.000649
25,0.000679
26,0.000712
27,0.000749
28,0.000791
29,0.000839
30,0.000893
31,0.000953
32,0.00102
33,0.001095
34,0.001179
35,0.001273
36,0.001378
37,0.001495
38,0.001624
39,0.001767
40,0.001925
41,0.002099
42,0.00229
43,0.002499
44,0.002727
45,0.002975
46,0.003244
47,0.003535
48,0.003849
49,0.004187
50,0.00455
51,0.004943
52,0.005378
53,0.005868
54,0.006428
55,0.007073
56,0.007818
57,0.008678
58,0.009666
59,0.010782
60,0.012027
61,0.013401
62,0.014901
63,0.016526
64,0.018286
65,0.020192
66,0.022256
67,0.024491
68,0.026911
69,0.029531
70,0.032367
71,0.035436
72,0.038756
73,0.042346
74,0.046226
75,0.050417
76,0.054941
77,0.059821
78,0.065081
79,0.070747
80,0.076847
81,0.083411
82,0.090471
83,0.098061
84,0.106217
85,0.114977
86,0.12438
87,0.134466
88,0.145274
89,0.156841
90,0.169202
91,0.182389
92,0.196431
93,0.211355
94,0.227186
95,0.243947
96,0.261659
97,0.280342
98,0.300015
99,0.320696
100,0.342402
101,0.36515
102,0.388956
103,0.439806
104,0.466881
105,0.495076
106,0.524406
107,0.554886
108,0.587554
109,0.624586
110,0.670361
111,0.733619
112,0.831839
113,1.0
