age,qx
15,0.001579
16,0.001595
17,0.001601
18,0.001595
19,0.001579
20,0.00155
21,0.001509
22,0.001464
23,0.001424
24,0.001388
25,0.001357
26,0.001333
27,0.001314
28,0.001302
29,0.001297
30,0.0013
31,0.00131
32,0.00133
33,0.001359
34,0.001397
35,0.001445
36,0.001505
37,0.001575
38,0.001659
39,0.001757
40,0.001869
41,0.001998
42,0.002145
43,0.00231
44,0.002497
45,0.002711
46,0.002955
47,0.003233
48,0.003548
49,0.003906
50,0.004309
51,0.004761
52,0.005266
53,0.005827
54,0.006447
55,0.007129
56,0.007876
57,0.008688
58,0.00957
59,0.010524
60,0.011552
61,0.012657
62,0.013842
63,0.015108
64,0.01646
65,0.018071
66,0.020031
67,0.022342
68,0.025002
69,0.028012
70,0.031371
71,0.035081
72,0.03914
73,0.043549
74,0.048308
75,0.053416
76,0.058875
77,0.064683
78,0.07084
79,0.077348
80,0.084205
81,0.091412
82,0.098969
83,0.106876
84,0.115132
85,0.123739
86,0.132695
87,0.142
88,0.151656
89,0.161661
90,0.172016
91,0.182721
92,0.193775
93,0.20518
94,0.216934
95,0.229038
96,0.241491
97,0.254295
98,0.267448
99,0.280951
100,0.294803
101,0.309006
102,0.323558
103,0.33846
104,0.353712
105,0.369313
106,0.385264
107,0.401566
108,0.418216
109,0.435217
110,0.452567
111,0.470267
112,0.488317
113,0.506717
114,0.525466
115,0.544565
116,0.564014
117,0.583813
118,0.603962
119,1.0
