age,qx
0,0.002
1,0.00069
2,0.00035
3,0.00022
4,0.00016
5,0.00013
6,0.00012
7,0.00011
8,0.00011
9,0.00012
10,0.00013
11,0.00015
12,0.00019
13,0.00024
14,0.00031
15,0.00039
16,0.00048
17,0.00057
18,0.00066
19,0.00074
20,0.0008
21,0.00085
22,0.00089
23,0.00092
24,0.00093
25,0.00093
26,0.00093
27,0.00092
28,0.00092
29,0.00091
30,0.00092
31,0.00093
32,0.00094
33,0.00099
34,0.00103
35,0.00109
36,0.00115
37,0.00121
38,0.00128
39,0.00136
40,0.00144
41,0.00153
42,0.00164
43,0.00175
44,0.00187
45,0.002
46,0.00215
47,0.00231
48,0.00249
49,0.00268
50,0.0029
51,0.00313
52,0.00339
53,0.00367
54,0.00398
55,0.00431
56,0.00468
57,0.00509
58,0.00554
59,0.00603
60,0.00656
61,0.00715
62,0.0078
63,0.00851
64,0.00929
65,0.01014
66,0.01107
67,0.0121
68,0.01323
69,0.01446
70,0.01581
71,0.0173
72,0.01893
73,0.02072
74,0.02268
75,0.02483
76,0.02719
77,0.02977
78,0.03261
79,0.03573
80,0.03914
81,0.04289
82,0.047
83,0.0515
84,0.05645
85,0.06187
86,0.06782
87,0.07434
88,0.0815
89,0.08935
90,0.09796
91,0.10741
92,0.11777
93,0.12913
94,0.1416
95,0.15527
96,0.17027
97,0.18672
98,0.20477
99,0.22457
100,0.24628
101,0.2701
102,0.29622
103,0.32488
104,0.35632
105,0.3908
106,0.42862
107,0.47011
108,0.51562
109,0.56553
110,0.62029
111,0.68035
112,0.74623
113,0.81849
114,0.89776
115,0.98471
116,1.0
